site,latitude,longitude,date,parameter,value
Alphington,-37.7784080505371,145.03059387207,2020-01-01,PM10,18.41
Alphington,-37.7784080505371,145.03059387207,2020-01-01,Visibility Reduction,0.48
Alphington,-37.7784080505371,145.03059387207,2020-01-02,PM10,16.2
Alphington,-37.7784080505371,145.03059387207,2020-01-02,Visibility Reduction,0.49
Alphington,-37.7784080505371,145.03059387207,2020-01-03,PM10,51.02
Alphington,-37.7784080505371,145.03059387207,2020-01-03,Visibility Reduction,3.31
Alphington,-37.7784080505371,145.03059387207,2020-01-04,PM10,45.29
Alphington,-37.7784080505371,145.03059387207,2020-01-04,Visibility Reduction,2.01
Alphington,-37.7784080505371,145.03059387207,2020-01-05,PM10,14.77
Alphington,-37.7784080505371,145.03059387207,2020-01-05,Visibility Reduction,0.44
Alphington,-37.7784080505371,145.03059387207,2020-01-06,PM10,72.03
Alphington,-37.7784080505371,145.03059387207,2020-01-06,Visibility Reduction,7.06
Alphington,-37.7784080505371,145.03059387207,2020-01-07,PM10,21.06
Alphington,-37.7784080505371,145.03059387207,2020-01-07,Visibility Reduction,1.9
Alphington,-37.7784080505371,145.03059387207,2020-01-08,PM10,20.67
Alphington,-37.7784080505371,145.03059387207,2020-01-08,Visibility Reduction,1.3
Alphington,-37.7784080505371,145.03059387207,2020-01-09,PM10,33.55
Alphington,-37.7784080505371,145.03059387207,2020-01-09,Visibility Reduction,2.14
Alphington,-37.7784080505371,145.03059387207,2020-01-10,PM10,39.82
Alphington,-37.7784080505371,145.03059387207,2020-01-10,Visibility Reduction,1.57
Alphington,-37.7784080505371,145.03059387207,2020-01-11,PM10,16.19
Alphington,-37.7784080505371,145.03059387207,2020-01-11,Visibility Reduction,0.47
Alphington,-37.7784080505371,145.03059387207,2020-01-12,PM10,8.18
Alphington,-37.7784080505371,145.03059387207,2020-01-12,Visibility Reduction,0.33
Alphington,-37.7784080505371,145.03059387207,2020-01-13,PM10,75.53
Alphington,-37.7784080505371,145.03059387207,2020-01-13,Visibility Reduction,5.14
Alphington,-37.7784080505371,145.03059387207,2020-01-14,PM10,241.5
Alphington,-37.7784080505371,145.03059387207,2020-01-14,Visibility Reduction,19.42
Alphington,-37.7784080505371,145.03059387207,2020-01-15,PM10,102.35
Alphington,-37.7784080505371,145.03059387207,2020-01-15,Visibility Reduction,6.2
Alphington,-37.7784080505371,145.03059387207,2020-01-16,PM10,35.37
Alphington,-37.7784080505371,145.03059387207,2020-01-16,Visibility Reduction,2.08
Alphington,-37.7784080505371,145.03059387207,2020-01-17,PM10,17.48
Alphington,-37.7784080505371,145.03059387207,2020-01-17,Visibility Reduction,0.54
Alphington,-37.7784080505371,145.03059387207,2020-01-18,PM10,24.73
Alphington,-37.7784080505371,145.03059387207,2020-01-18,Visibility Reduction,1.17
Alphington,-37.7784080505371,145.03059387207,2020-01-19,PM10,27.82
Alphington,-37.7784080505371,145.03059387207,2020-01-19,Visibility Reduction,1.45
Alphington,-37.7784080505371,145.03059387207,2020-01-20,PM10,11.0
Alphington,-37.7784080505371,145.03059387207,2020-01-20,Visibility Reduction,0.62
Alphington,-37.7784080505371,145.03059387207,2020-01-21,PM10,20.22
Alphington,-37.7784080505371,145.03059387207,2020-01-21,Visibility Reduction,0.52
Alphington,-37.7784080505371,145.03059387207,2020-01-22,PM10,28.9
Alphington,-37.7784080505371,145.03059387207,2020-01-22,Visibility Reduction,0.51
Alphington,-37.7784080505371,145.03059387207,2020-01-23,PM10,10.94
Alphington,-37.7784080505371,145.03059387207,2020-01-23,Visibility Reduction,0.35
Alphington,-37.7784080505371,145.03059387207,2020-01-24,PM10,17.93
Alphington,-37.7784080505371,145.03059387207,2020-01-24,Visibility Reduction,0.41
Alphington,-37.7784080505371,145.03059387207,2020-01-25,PM10,14.45
Alphington,-37.7784080505371,145.03059387207,2020-01-25,Visibility Reduction,0.4
Alphington,-37.7784080505371,145.03059387207,2020-01-26,PM10,13.51
Alphington,-37.7784080505371,145.03059387207,2020-01-26,Visibility Reduction,0.5
Alphington,-37.7784080505371,145.03059387207,2020-01-27,PM10,15.0
Alphington,-37.7784080505371,145.03059387207,2020-01-27,Visibility Reduction,0.45
Alphington,-37.7784080505371,145.03059387207,2020-01-28,PM10,19.97
Alphington,-37.7784080505371,145.03059387207,2020-01-28,Visibility Reduction,0.52
Alphington,-37.7784080505371,145.03059387207,2020-01-29,PM10,20.07
Alphington,-37.7784080505371,145.03059387207,2020-01-29,Visibility Reduction,0.51
Alphington,-37.7784080505371,145.03059387207,2020-01-30,PM10,25.82
Alphington,-37.7784080505371,145.03059387207,2020-01-30,Visibility Reduction,0.53
Alphington,-37.7784080505371,145.03059387207,2020-01-31,PM10,57.32
Alphington,-37.7784080505371,145.03059387207,2020-01-31,Visibility Reduction,0.76
Alphington,-37.7784080505371,145.03059387207,2020-02-01,PM10,15.05
Alphington,-37.7784080505371,145.03059387207,2020-02-01,Visibility Reduction,0.4
Alphington,-37.7784080505371,145.03059387207,2020-02-02,PM10,10.08
Alphington,-37.7784080505371,145.03059387207,2020-02-02,Visibility Reduction,0.37
Alphington,-37.7784080505371,145.03059387207,2020-02-03,PM10,16.53
Alphington,-37.7784080505371,145.03059387207,2020-02-03,Visibility Reduction,0.36
Alphington,-37.7784080505371,145.03059387207,2020-02-04,PM10,19.15
Alphington,-37.7784080505371,145.03059387207,2020-02-04,Visibility Reduction,0.4
Alphington,-37.7784080505371,145.03059387207,2020-02-05,PM10,17.02
Alphington,-37.7784080505371,145.03059387207,2020-02-05,Visibility Reduction,0.43
Alphington,-37.7784080505371,145.03059387207,2020-02-06,PM10,40.02
Alphington,-37.7784080505371,145.03059387207,2020-02-06,Visibility Reduction,1.51
Alphington,-37.7784080505371,145.03059387207,2020-02-07,PM10,54.28
Alphington,-37.7784080505371,145.03059387207,2020-02-07,Visibility Reduction,3.03
Alphington,-37.7784080505371,145.03059387207,2020-02-08,PM10,28.9
Alphington,-37.7784080505371,145.03059387207,2020-02-08,Visibility Reduction,1.61
Alphington,-37.7784080505371,145.03059387207,2020-02-09,PM10,11.17
Alphington,-37.7784080505371,145.03059387207,2020-02-09,Visibility Reduction,0.49
Alphington,-37.7784080505371,145.03059387207,2020-02-10,PM10,6.23
Alphington,-37.7784080505371,145.03059387207,2020-02-10,Visibility Reduction,0.3
Alphington,-37.7784080505371,145.03059387207,2020-02-11,PM10,14.35
Alphington,-37.7784080505371,145.03059387207,2020-02-11,Visibility Reduction,0.72
Alphington,-37.7784080505371,145.03059387207,2020-02-12,PM10,12.96
Alphington,-37.7784080505371,145.03059387207,2020-02-12,Visibility Reduction,0.53
Alphington,-37.7784080505371,145.03059387207,2020-02-13,PM10,8.79
Alphington,-37.7784080505371,145.03059387207,2020-02-13,Visibility Reduction,0.32
Alphington,-37.7784080505371,145.03059387207,2020-02-14,PM10,15.6
Alphington,-37.7784080505371,145.03059387207,2020-02-14,Visibility Reduction,0.59
Alphington,-37.7784080505371,145.03059387207,2020-02-15,PM10,10.96
Alphington,-37.7784080505371,145.03059387207,2020-02-15,Visibility Reduction,0.6
Alphington,-37.7784080505371,145.03059387207,2020-02-16,PM10,6.55
Alphington,-37.7784080505371,145.03059387207,2020-02-16,Visibility Reduction,0.34
Alphington,-37.7784080505371,145.03059387207,2020-02-17,PM10,18.02
Alphington,-37.7784080505371,145.03059387207,2020-02-17,Visibility Reduction,0.53
Alphington,-37.7784080505371,145.03059387207,2020-02-18,PM10,12.54
Alphington,-37.7784080505371,145.03059387207,2020-02-18,Visibility Reduction,0.61
Alphington,-37.7784080505371,145.03059387207,2020-02-19,PM10,12.16
Alphington,-37.7784080505371,145.03059387207,2020-02-19,Visibility Reduction,0.46
Alphington,-37.7784080505371,145.03059387207,2020-02-20,PM10,9.52
Alphington,-37.7784080505371,145.03059387207,2020-02-20,Visibility Reduction,0.35
Alphington,-37.7784080505371,145.03059387207,2020-02-21,PM10,9.14
Alphington,-37.7784080505371,145.03059387207,2020-02-21,Visibility Reduction,0.34
Alphington,-37.7784080505371,145.03059387207,2020-02-22,PM10,13.34
Alphington,-37.7784080505371,145.03059387207,2020-02-22,Visibility Reduction,0.41
Alphington,-37.7784080505371,145.03059387207,2020-02-23,PM10,19.71
Alphington,-37.7784080505371,145.03059387207,2020-02-23,Visibility Reduction,0.5
Alphington,-37.7784080505371,145.03059387207,2020-02-24,PM10,23.17
Alphington,-37.7784080505371,145.03059387207,2020-02-24,Visibility Reduction,0.8
Alphington,-37.7784080505371,145.03059387207,2020-02-25,PM10,15.05
Alphington,-37.7784080505371,145.03059387207,2020-02-25,Visibility Reduction,0.6
Alphington,-37.7784080505371,145.03059387207,2020-02-26,PM10,11.31
Alphington,-37.7784080505371,145.03059387207,2020-02-26,Visibility Reduction,0.36
Alphington,-37.7784080505371,145.03059387207,2020-02-27,PM10,14.83
Alphington,-37.7784080505371,145.03059387207,2020-02-27,Visibility Reduction,0.36
Alphington,-37.7784080505371,145.03059387207,2020-02-28,PM10,9.91
Alphington,-37.7784080505371,145.03059387207,2020-02-28,Visibility Reduction,0.33
Alphington,-37.7784080505371,145.03059387207,2020-02-29,PM10,10.15
Alphington,-37.7784080505371,145.03059387207,2020-02-29,Visibility Reduction,0.36
Alphington,-37.77840805,145.0305939,2019-09-01,PM10,7.48
Alphington,-37.77840805,145.0305939,2019-09-01,PM2.5,4.61
Alphington,-37.77840805,145.0305939,2019-09-01,Visibility Reduction,0.36
Alphington,-37.77840805,145.0305939,2019-09-02,PM10,10.27
Alphington,-37.77840805,145.0305939,2019-09-02,PM2.5,4.28
Alphington,-37.77840805,145.0305939,2019-09-02,Visibility Reduction,0.41
Alphington,-37.77840805,145.0305939,2019-09-03,PM10,13.27
Alphington,-37.77840805,145.0305939,2019-09-03,PM2.5,6.3
Alphington,-37.77840805,145.0305939,2019-09-03,Visibility Reduction,0.44
Alphington,-37.77840805,145.0305939,2019-09-04,PM10,16.33
