site,date,pm10,pm25
Alphington,2019-09-01,7.48,4.61
Alphington,2019-09-02,10.27,4.28
Alphington,2019-09-03,13.27,6.3
Alphington,2019-09-04,16.33,7.42
Alphington,2019-09-05,14.28,6.41
Alphington,2019-09-06,9.92,6.07
Alphington,2019-09-07,10.53,5.13
Alphington,2019-09-08,10.92,5.49
Alphington,2019-09-09,17.32,8.02
Alphington,2019-09-10,17.73,3.92
Footscray,2019-09-01,8.44,4.24
Footscray,2019-09-02,11.3,5.15
Footscray,2019-09-03,14.72,6.76
Footscray,2019-09-04,16.43,7.25
Footscray,2019-09-05,14.67,6.34
Footscray,2019-09-06,12.13,5.72
Footscray,2019-09-07,10.4,4.35
Footscray,2019-09-08,9.87,5.91
Footscray,2019-09-09,16.46,7.55
Footscray,2019-09-10,17.6,7.15
Footscray,2019-09-11,12.28,6.57
Footscray,2019-09-12,27.79,7.71
Footscray,2019-09-13,22.58,6.97
Footscray,2019-09-14,26.73,11.22
Footscray,2019-09-15,12.33,7.33
Footscray,2019-09-16,15.01,6.73
Footscray,2019-09-17,15.82,6.6
Footscray,2019-09-18,19.77,8.95
Footscray,2019-09-19,16.04,7.74
Footscray,2019-09-20,17.63,6.66
Footscray,2019-09-21,23.11,7.72
Footscray,2019-09-22,5.7,2.35
Footscray,2019-09-23,9.25,4.83
Footscray,2019-09-24,13.27,4.57
Footscray,2019-09-25,12.36,4.78
Footscray,2019-09-26,13.06,5.9
Footscray,2019-09-27,22.57,5.08
Footscray,2019-09-28,17.97,7.33
Footscray,2019-09-29,16.14,6.84
Footscray,2019-09-30,12.3,5.34
Footscray,2019-10-01,29.95,11.9
Footscray,2019-10-02,33.23,11.04
Footscray,2019-10-03,29.85,11.01
Footscray,2019-10-04,10.7,5.15
Footscray,2019-10-05,17.46,8.67
Footscray,2019-10-06,20.23,7.84
Footscray,2019-10-07,18.01,3.93
Footscray,2019-10-08,12.16,5.24
Footscray,2019-10-09,10.71,4.22
Footscray,2019-10-10,7.31,3.03
Footscray,2019-10-11,11.33,5.84
Footscray,2019-10-12,13.27,5.7
Footscray,2019-10-13,12.8,7.31
Footscray,2019-10-14,17.71,7.71
Footscray,2019-10-15,13.05,6.04
Footscray,2019-10-16,11.29,5.36
Footscray,2019-10-17,14.16,4.82
Footscray,2019-10-18,18.69,6.22
Footscray,2019-10-19,12.72,4.49
Footscray,2019-10-20,16.63,7.9
Footscray,2019-10-21,12.29,5.24
Footscray,2019-10-22,17.03,7.76
Footscray,2019-10-23,31.14,11.58
Footscray,2019-10-24,29.5,9.53
Footscray,2019-10-25,55.06,9.31
Footscray,2019-10-26,14.14,5.47
Footscray,2019-10-27,14.06,5.02
Footscray,2019-10-28,19.97,7.27
Footscray,2019-10-29,18.26,7.6
Footscray,2020-02-07,42.45,36.05
Footscray,2020-02-08,33.66,20.65
Footscray,2020-02-09,16.74,6.02
Footscray,2020-02-10,8.77,3.84
Footscray,2020-02-11,24.2,5.26
Footscray,2020-02-12,12.56,3.26
Footscray,2020-02-13,17.96,3.77
Footscray,2020-02-14,21.77,7.08
Footscray,2020-02-15,12.69,5.04
Footscray,2020-02-16,9.75,3.55
Footscray,2020-02-17,20.46,7.16
Footscray,2020-02-18,17.03,5.83
Footscray,2020-02-19,15.77,6.3
Footscray,2020-02-20,13.06,4.29
Footscray,2020-02-21,11.64,2.71
Footscray,2020-02-22,14.42,5.05
Footscray,2020-02-23,21.82,6.31
Footscray,2020-02-24,26.52,10.2
Footscray,2020-02-25,18.48,7.03
Footscray,2020-02-28,12.71,4.1
Footscray,2020-02-29,12.66,4.52
Geelong South,2019-09-01,7.85,1.79
Geelong South,2019-09-02,11.23,4.29
Geelong South,2019-09-03,18.61,5.45
Geelong South,2019-09-04,14.82,5.42
