site,latitude,longitude,avg_pm25,peak_pm25,days_over_25,days_over_50
Alphington,-37.77840805,145.0305939,5.76,8.02,0,0
Churchill,-38.30431366,146.4149323,6.49,29.61,3,0
Churchill,-38.304313659668,146.414932250977,24.18,241.55,10,7
Footscray,-37.8048782348633,144.872802734375,17.75,212.87,9,4
Footscray,-37.80487823,144.8728027,7.31,29.57,1,0
Geelong South,-38.1735611,144.3703003,6.19,32.01,1,0
Geelong South,-38.1735610961914,144.370300292969,19.71,155.18,6,4
Melbourne CBD,-37.80739594,144.9700012,6.44,26.18,2,0
Melbourne CBD,-37.8073959350586,144.970001220703,17.13,209.88,9,5
Moe,-38.18646622,146.2583313,6.06,32.72,1,0
Moe,-38.186466217041,146.258331298828,22.04,220.41,9,6
Morwell East,-38.22939301,146.4244537,7.21,29.26,2,0
Morwell East,-38.2293930053711,146.424453735352,21.71,218.78,9,7
Morwell South,-38.2392921447754,146.387298583984,21.64,216.27,9,7
Morwell South,-38.23929214,146.3872986,6.26,32.38,2,0
Newborough,-38.1875190734863,146.292694091797,6.36,33.1,1,0
Traralgon,-38.1942825317383,146.531463623047,24.12,244.36,9,7
Traralgon,-38.19428253,146.5314636,8.17,34.4,2,0
