week_start,parameter,value
2019-09-01,PM10,11.94
2019-09-01,PM2.5,5.87
2019-09-01,Visibility Reduction,0.47
2019-09-08,PM10,17.88
2019-09-08,PM2.5,7.13
2019-09-08,Visibility Reduction,0.49
2019-09-15,PM10,18.02
2019-09-15,PM2.5,6.5
2019-09-15,Visibility Reduction,0.46
2019-09-22,PM10,11.97
2019-09-22,PM2.5,4.89
2019-09-22,Visibility Reduction,0.41
2019-09-29,PM10,19.4
2019-09-29,PM2.5,6.44
2019-09-29,Visibility Reduction,0.49
2019-10-06,PM10,12.01
2019-10-06,PM2.5,4.27
2019-10-06,Visibility Reduction,0.37
2019-10-13,PM10,13.43
2019-10-13,PM2.5,4.76
2019-10-13,Visibility Reduction,0.4
2019-10-20,PM10,23.0
2019-10-20,PM2.5,6.61
2019-10-20,Visibility Reduction,0.46
2019-10-27,PM10,26.35
2019-10-27,PM2.5,7.33
2019-10-27,Visibility Reduction,0.51
2019-11-03,PM10,11.56
2019-11-03,PM2.5,4.54
2019-11-03,Visibility Reduction,0.38
2019-11-10,PM10,14.69
2019-11-10,PM2.5,4.48
2019-11-10,Visibility Reduction,0.37
2019-11-17,PM10,28.35
2019-11-17,PM2.5,5.86
2019-11-17,Visibility Reduction,0.46
2019-11-24,PM10,21.2
2019-11-24,PM2.5,8.44
2019-11-24,Visibility Reduction,0.57
2019-12-01,PM10,15.88
2019-12-01,PM2.5,5.06
2019-12-01,Visibility Reduction,0.4
2019-12-08,PM10,18.54
2019-12-08,PM2.5,5.34
2019-12-08,Visibility Reduction,0.44
2019-12-15,PM10,30.6
2019-12-15,PM2.5,11.12
2019-12-15,Visibility Reduction,0.84
2019-12-22,PM10,31.28
2019-12-22,PM2.5,12.87
2019-12-22,Visibility Reduction,1.07
2019-12-29,PM10,42.1
2019-12-29,PM2.5,24.76
2019-12-29,Visibility Reduction,1.87
2020-01-05,PM10,37.04
2020-01-05,PM2.5,35.36
2020-01-05,Visibility Reduction,2.88
2020-01-12,PM10,85.53
2020-01-12,PM2.5,75.09
2020-01-12,Visibility Reduction,6.06
2020-01-19,PM10,19.7
2020-01-19,PM2.5,7.2
2020-01-19,Visibility Reduction,0.58
2020-01-26,PM10,27.99
2020-01-26,PM2.5,8.16
2020-01-26,Visibility Reduction,0.58
2020-02-02,PM10,29.44
2020-02-02,PM2.5,13.58
2020-02-02,Visibility Reduction,1.03
2020-02-09,PM10,14.36
2020-02-09,PM2.5,4.77
2020-02-09,Visibility Reduction,0.52
2020-02-16,PM10,14.36
2020-02-16,PM2.5,4.29
2020-02-16,Visibility Reduction,0.43
2020-02-23,PM10,17.25
2020-02-23,PM2.5,5.42
2020-02-23,Visibility Reduction,0.47
