date,fire_count,total_frp,high_confidence_count,day_count,night_count
2019-09-01,414,19385.8,173,398,16
2019-09-02,310,20239.3,96,265,45
2019-09-03,487,26167.9,216,449,38
2019-09-04,389,21363.0,150,318,71
2019-09-05,419,31006.8,218,349,70
2019-09-06,947,91457.2,553,552,395
2019-09-07,878,57026.3,502,613,265
2019-09-08,937,68468.2,500,624,313
2019-09-09,982,69152.3,544,735,247
2019-09-10,993,52227.9,457,803,190
2019-09-11,671,40377.6,291,580,91
2019-09-12,744,63620.0,366,572,172
2019-09-13,777,58409.2,375,669,108
2019-09-14,707,56844.3,383,545,162
2019-09-15,713,50067.6,377,546,167
2019-09-16,434,31042.7,222,346,88
2019-09-17,397,24894.2,185,359,38
2019-09-18,324,25211.1,140,264,60
2019-09-19,351,19687.5,167,292,59
2019-09-20,290,38210.0,183,261,29
2019-09-21,183,8061.9,83,151,32
2019-09-22,206,13156.0,110,136,70
2019-09-23,312,16662.8,165,241,71
2019-09-24,354,16961.2,164,298,56
2019-09-25,218,15810.6,105,186,32
2019-09-26,273,12524.7,114,209,64
2019-09-27,337,19117.2,145,251,86
2019-09-28,408,28762.1,227,350,58
2019-09-29,418,27101.7,197,307,111
2019-09-30,570,50204.4,322,485,85
2019-10-01,742,65168.4,453,572,170
2019-10-02,316,29873.0,162,258,58
2019-10-03,636,53696.2,386,487,149
2019-10-04,801,65452.0,490,465,336
2019-10-05,1028,110057.2,651,758,270
2019-10-06,570,31334.8,268,467,103
2019-10-07,514,31259.1,271,373,141
2019-10-08,1018,75140.2,676,519,499
2019-10-09,713,42325.0,365,621,92
2019-10-10,654,53365.4,346,585,69
2019-10-11,622,52465.5,346,509,113
2019-10-12,732,59299.5,433,588,144
2019-10-13,620,56087.5,325,523,97
2019-10-14,936,81778.7,498,767,169
2019-10-15,594,46121.4,308,498,96
2019-10-16,672,41925.7,345,534,138
2019-10-17,714,65334.2,427,577,137
2019-10-18,763,72733.5,447,556,207
2019-10-19,1154,113244.6,708,791,363
2019-10-20,968,118519.5,562,724,244
2019-10-21,1740,167284.1,1132,1326,414
2019-10-22,1005,101562.7,595,755,250
2019-10-23,962,73948.1,584,702,260
2019-10-24,732,52777.5,417,399,333
2019-10-25,685,54201.8,375,571,114
2019-10-26,683,63016.5,377,465,218
2019-10-27,641,65027.7,374,512,129
2019-10-28,623,58873.8,343,503,120
2019-10-29,467,36222.4,275,364,103
2019-10-30,579,83871.5,388,459,120
2019-10-31,615,91166.3,355,490,125
2019-11-01,359,17914.0,171,291,68
2019-11-02,440,30642.4,228,311,129
2019-11-03,446,40246.7,263,404,42
2019-11-04,761,71057.9,500,520,241
2019-11-05,524,87710.1,321,442,82
2019-11-06,780,75471.5,457,523,257
2019-11-07,2274,304344.7,1649,1635,639
2019-11-08,3342,635590.8,2577,1455,1887
2019-11-09,2423,230265.5,1543,1327,1096
2019-11-10,2110,226163.4,1389,1625,485
2019-11-11,980,59883.6,496,587,393
2019-11-12,2781,236736.4,1913,1783,998
2019-11-13,1413,126900.3,803,978,435
2019-11-14,1404,92510.4,820,949,455
2019-11-15,2132,210805.7,1354,1382,750
2019-11-16,1314,137862.8,788,889,425
2019-11-17,1379,140013.2,860,888,491
2019-11-18,1375,114024.4,788,711,664
2019-11-19,1985,251651.9,1345,1402,583
2019-11-20,1120,123572.2,632,752,368
2019-11-21,1399,108081.1,812,937,462
2019-11-22,1271,109308.9,785,1056,215
2019-11-23,900,68476.9,524,662,238
2019-11-24,786,71324.1,491,491,295
2019-11-25,875,82712.7,530,568,307
2019-11-26,775,93156.9,504,569,206
2019-11-27,642,58797.9,374,350,292
2019-11-28,694,43081.0,375,566,128
2019-11-29,727,109795.8,417,524,203
2019-11-30,497,31365.5,260,352,145
2019-12-01,959,129460.0,654,835,124
2019-12-02,1526,104245.4,907,866,660
2019-12-03,1955,152792.8,1261,1126,829
2019-12-04,2459,263537.4,1547,1325,1134
2019-12-05,2927,268158.1,2092,1868,1059
2019-12-06,3059,312613.6,2093,1520,1539
2019-12-07,2206,184311.5,1430,1429,777
2019-12-08,1527,125009.9,893,1283,244
2019-12-09,2396,183139.7,1416,1521,875
2019-12-10,1279,107578.8,785,932,347
2019-12-11,726,61887.0,385,482,244
2019-12-12,683,53980.9,381,553,130
2019-12-13,799,79031.4,448,599,200
2019-12-14,1929,201840.0,1308,1182,747
2019-12-15,2243,247071.4,1400,1505,738
2019-12-16,2386,292041.5,1585,1697,689
2019-12-17,2099,150258.2,1214,1647,452
2019-12-18,3228,268780.7,2011,1778,1450
2019-12-19,4007,341701.0,2807,2315,1692
2019-12-20,2959,541140.4,1816,1687,1272
2019-12-21,3409,472428.7,2384,2522,887
2019-12-22,1182,122520.9,649,965,217
2019-12-23,1182,74881.2,700,801,381
2019-12-24,1301,101355.4,776,956,345
2019-12-25,1617,115714.3,895,1025,592
2019-12-26,1849,179128.3,1131,1397,452
2019-12-27,1514,168000.1,924,914,600
2019-12-28,2018,175952.5,1388,1316,702
2019-12-29,2792,612563.8,2074,1530,1262
2019-12-30,6188,914352.7,5088,1728,4460
2019-12-31,2707,256585.7,1821,1754,953
2020-01-01,2948,264503.5,2010,1176,1772
2020-01-02,3644,496228.3,2522,2571,1073
2020-01-03,3499,437114.8,2364,2121,1378
2020-01-04,6409,1042629.9,5327,3650,2759
2020-01-05,679,110135.0,376,415,264
2020-01-06,755,83086.6,472,549,206
2020-01-07,1057,169898.2,774,742,315
2020-01-08,884,490691.7,617,687,197
2020-01-09,578,51308.9,312,437,141
2020-01-10,438,29551.9,230,276,162
2020-01-11,974,69302.0,626,802,172
2020-01-12,654,70333.0,338,377,277
2020-01-13,1491,87936.1,935,962,529
2020-01-14,685,45456.1,329,348,337
2020-01-15,236,12114.9,119,223,13
2020-01-16,184,13408.4,95,153,31
2020-01-17,109,6476.3,55,58,51
2020-01-18,131,5361.3,56,118,13
2020-01-19,52,2005.4,17,41,11
2020-01-20,58,3864.9,32,41,17
