latitude,longitude,fire_count,total_frp,avg_confidence
-31.5,152,3577,251866.3,84.1
-33,150.5,3193,258883.1,83.7
-30,152.5,2792,317832.0,85.5
-31,152,2758,321922.1,85.9
-34,150,2738,308584.4,85.7
-35.5,150,2033,289720.8,87.8
-37.5,148,2023,289734.8,88.0
-32.5,150.5,2019,123840.1,84.3
-37,149.5,1996,300673.2,89.5
-33,151,1983,124238.3,82.5
-31,152.5,1891,152803.3,82.4
-29,152.5,1877,168073.0,84.7
-37.5,149,1860,123275.8,85.9
-29.5,152.5,1854,141755.4,82.9
-33.5,150.5,1853,247589.8,86.0
-37.5,148.5,1736,106935.9,90.4
-37.5,149.5,1689,276379.0,87.8
-33,150,1651,147716.2,86.4
-36,149.5,1624,239741.8,88.1
-29.5,152,1461,144119.7,84.3
-30,152,1396,146230.4,83.9
-34,150.5,1337,141314.2,85.0
-32,121.5,1246,216892.3,86.4
-33,123.5,1242,239641.5,89.3
-37.5,147.5,1236,207160.6,86.1
-35.5,149,1207,201626.9,89.1
-32.5,150,1202,113617.5,85.8
-36.5,148,1195,123919.4,85.1
-30.5,152.5,1186,163904.4,84.1
-28.5,152.5,1087,95419.3,85.5
-15.5,144,1083,50226.5,76.8
-31.5,151.5,1077,84651.5,85.8
-35.5,148,1075,211474.1,90.5
-32.5,123.5,1052,228116.6,90.1
-31,123.5,1036,217536.4,87.2
-35,150.5,1034,127544.7,86.4
-35,150,1021,121676.4,87.0
-29,153,1009,143513.5,87.9
-30.5,152,1005,101410.0,84.7
-36.5,149.5,964,242136.5,90.7
-36,150,952,87554.4,83.7
-36,147.5,933,177996.8,90.6
-29.5,153,892,124771.4,86.3
-31.5,152.5,889,79104.1,82.3
-36,149,882,164165.7,88.5
-29,151.5,851,150272.3,87.9
-37,148,846,163163.8,88.0
-30,153,844,75723.2,85.0
-36,148.5,839,124112.7,86.9
-33.5,150,803,127516.8,87.8
-14,131,799,87214.5,83.4
-28,152.5,790,52640.0,83.6
-14.5,131,779,114246.3,88.4
-34.5,150.5,731,72545.4,86.9
-32.5,122,723,205869.9,89.2
-31,124,708,109038.1,85.3
-31.5,124,704,127172.0,85.5
-37,147,680,109586.0,86.5
