date,latitude,longitude,confidence,frp,daynight
2019-09-01,-12.4983,142.0457,58,71.9,D
2019-09-01,-27.208,149.7929,70,9.9,D
2019-09-01,-12.3625,134.2239,50,24.5,D
2019-09-01,-12.5128,133.8655,82,64.9,D
2019-09-01,-13.3304,130.9812,99,105.0,D
2019-09-01,-14.1203,130.0282,70,18.2,D
2019-09-01,-25.4326,152.1617,66,76.9,D
2019-09-01,-17.1699,142.7119,86,76.3,D
2019-09-01,-13.6283,135.7333,86,33.1,D
2019-09-01,-16.3726,136.4656,81,21.6,D
2019-09-01,-14.8068,142.1597,81,54.0,D
2019-09-01,-14.1949,136.5124,56,11.6,D
2019-09-01,-13.015,134.9429,87,27.9,D
2019-09-01,-13.2399,131.0286,68,48.6,D
2019-09-01,-12.3555,135.5656,84,25.1,D
2019-09-01,-12.4643,134.4124,71,21.7,D
2019-09-01,-12.3221,134.8371,58,7.7,D
2019-09-01,-12.2363,134.7896,54,12.4,D
2019-09-01,-12.1738,134.4555,88,34.8,D
2019-09-01,-11.7853,132.7472,96,54.5,D
2019-09-01,-12.7772,132.0367,100,35.0,N
2019-09-02,-12.0109,142.523,62,6.5,D
2019-09-02,-12.3594,142.0719,95,50.6,D
2019-09-02,-13.4707,143.0373,67,12.2,D
2019-09-02,-16.9189,142.7758,86,35.0,D
2019-09-02,-33.9224,143.2269,57,17.2,D
2019-09-02,-32.0762,147.0906,65,15.5,D
2019-09-02,-26.366,150.7555,98,76.1,D
2019-09-02,-22.4769,148.9025,66,13.9,D
2019-09-02,-12.8653,141.838,68,45.2,D
2019-09-02,-34.2196,142.2875,55,62.7,D
2019-09-02,-16.4095,136.3926,100,1269.2,D
2019-09-02,-14.5407,132.9161,65,58.3,D
2019-09-02,-13.1334,130.7493,64,37.5,D
2019-09-02,-32.2181,146.9974,100,41.3,N
2019-09-02,-14.5359,143.8623,100,25.9,N
2019-09-02,-15.4584,133.2019,87,22.7,N
2019-09-03,-26.1556,151.1016,68,10.9,D
2019-09-03,-31.6091,148.5022,66,7.4,D
2019-09-03,-11.8114,132.7619,59,20.1,D
2019-09-03,-12.5649,134.4888,89,51.3,D
2019-09-03,-12.7919,131.5692,69,17.0,D
2019-09-03,-13.3415,130.7291,92,40.5,D
2019-09-03,-15.4281,135.6248,82,52.4,D
2019-09-03,-16.4408,136.3652,88,102.3,D
2019-09-03,-37.3816,142.1259,55,5.1,D
2019-09-03,-34.3602,140.5961,56,11.6,D
2019-09-03,-32.9813,146.4412,94,67.0,D
2019-09-03,-26.1557,151.1129,84,162.6,D
2019-09-03,-16.9048,142.7634,54,16.6,D
2019-09-03,-12.7929,132.0638,71,42.0,D
2019-09-03,-12.5151,133.8267,80,41.9,D
2019-09-03,-15.4217,135.6333,59,25.3,D
2019-09-03,-13.4094,141.9583,79,28.2,D
2019-09-03,-12.6438,142.619,82,45.3,D
2019-09-03,-12.703,136.3872,81,27.5,D
2019-09-03,-12.3465,134.1705,57,12.1,D
2019-09-03,-12.1716,134.436,100,184.4,D
2019-09-03,-27.1071,126.483,92,217.7,D
2019-09-03,-27.0354,126.4899,59,21.5,N
2019-09-03,-12.7466,131.9969,91,17.1,N
2019-09-04,-11.0998,142.4721,58,23.0,D
2019-09-04,-16.0294,144.4287,83,22.5,D
2019-09-04,-16.9277,142.7811,79,16.3,D
2019-09-04,-30.1499,152.2549,88,320.6,D
2019-09-04,-14.5194,126.6947,100,320.5,D
2019-09-04,-30.18,152.2331,72,57.3,D
2019-09-04,-26.1504,151.0936,72,21.4,D
2019-09-04,-26.3121,151.0851,65,18.0,D
2019-09-04,-17.9655,145.541,100,398.6,D
2019-09-04,-14.5114,144.2477,61,41.0,D
2019-09-04,-21.6853,135.4681,69,27.9,D
2019-09-04,-15.2807,134.4703,68,37.1,D
2019-09-04,-13.3124,130.735,95,66.9,D
2019-09-04,-12.4829,134.0715,53,28.1,D
