week_start,fire_count,total_frp,high_confidence_count,day_count,night_count
2019-09-01,3844,266646.3,1908,2944,900
2019-09-08,5811,409099.5,2916,4528,1283
2019-09-15,2692,197175.0,1357,2219,473
2019-09-22,2108,122994.6,1030,1671,437
2019-09-29,4511,401552.9,2661,3332,1179
2019-10-06,4823,345189.5,2705,3662,1161
2019-10-13,5453,477225.6,3058,4246,1207
2019-10-20,6775,631310.2,4042,4942,1833
2019-10-27,3724,383718.1,2134,2930,794
2019-11-03,10550,1444687.2,7310,6306,4244
2019-11-10,12134,1090862.6,7563,8193,3941
2019-11-17,9429,915128.6,5746,6408,3021
2019-11-24,4996,490233.9,2951,3420,1576
2019-12-01,15091,1415118.8,9984,8969,6122
2019-12-08,9339,812467.7,5616,6552,2787
2019-12-15,20331,2313421.9,13217,13151,7180
2019-12-22,10663,937552.7,6463,7374,3289
2019-12-29,28187,4023978.7,21206,14530,13657
2020-01-05,5365,1003974.3,3407,3908,1457
2020-01-12,3490,241086.1,1927,2239,1251
2020-01-19,825,89660.1,446,655,170
2020-01-26,5601,837516.7,3988,3054,2547
2020-02-02,2259,301869.2,1478,1393,866
2020-02-09,803,62761.6,381,674,129
2020-02-16,536,22256.1,231,350,186
2020-02-23,150,5760.0,53,105,45
