week_index,week_label,week_start_2019_20,diagnosis,2017-18,2017-18(x),2018-19,2019-20,asr_change_vs_2018_19,pct_change_vs_2018_19
1,1-7 September,2019-09-01,Abnormalities of breathing,7.85,,8.13,8.84,0.71,8.7
1,1-7 September,2019-09-01,Acute myocardial infarction,2.51,,2.53,2.67,0.14,5.5
1,1-7 September,2019-09-01,Asthma,6.36,,6.86,6.96,0.1,1.5
1,1-7 September,2019-09-01,COPD with acute exacerbation,1.84,,1.68,2.18,0.5,29.8
1,1-7 September,2019-09-01,Cardiovascular diseases,19.01,,15.05,15.34,0.29,1.9
1,1-7 September,2019-09-01,Cerebrovascular diseases,,1.64,2.94,2.92,-0.02,-0.7
1,1-7 September,2019-09-01,Chest pain,27.42,,28.44,27.96,-0.48,-1.7
1,1-7 September,2019-09-01,Dehydration,1.6,,1.32,1.44,0.12,9.1
1,1-7 September,2019-09-01,Diseases of the respiratory system,82.43,,63.65,69.53,5.88,9.2
1,1-7 September,2019-09-01,Mental and behavioural disorders,22.42,,24.21,23.87,-0.34,-1.4
2,8-14 September,2019-09-08,Abnormalities of breathing,8.01,,8.61,8.65,0.04,0.5
2,8-14 September,2019-09-08,Acute myocardial infarction,2.11,,2.54,2.27,-0.27,-10.6
2,8-14 September,2019-09-08,Asthma,7.23,,6.63,6.41,-0.22,-3.3
2,8-14 September,2019-09-08,COPD with acute exacerbation,1.59,,1.88,1.81,-0.07,-3.7
2,8-14 September,2019-09-08,Cardiovascular diseases,18.88,,15.6,15.03,-0.57,-3.7
2,8-14 September,2019-09-08,Cerebrovascular diseases,,1.22,2.83,2.76,-0.07,-2.5
2,8-14 September,2019-09-08,Chest pain,26.46,,28.53,28.65,0.12,0.4
2,8-14 September,2019-09-08,Dehydration,2.16,,1.17,1.44,0.27,23.1
2,8-14 September,2019-09-08,Diseases of the respiratory system,79.53,,63.67,63.99,0.32,0.5
2,8-14 September,2019-09-08,Mental and behavioural disorders,21.65,,25.21,24.07,-1.14,-4.5
3,15-21 September,2019-09-15,Abnormalities of breathing,7.52,,8.18,8.61,0.43,5.3
3,15-21 September,2019-09-15,Acute myocardial infarction,2.31,,2.34,2.82,0.48,20.5
3,15-21 September,2019-09-15,Asthma,6.14,,5.79,6.36,0.57,9.8
3,15-21 September,2019-09-15,COPD with acute exacerbation,1.65,,1.97,1.82,-0.15,-7.6
3,15-21 September,2019-09-15,Cardiovascular diseases,17.98,,15.53,15.29,-0.24,-1.5
3,15-21 September,2019-09-15,Cerebrovascular diseases,,1.53,3.12,3.07,-0.05,-1.6
3,15-21 September,2019-09-15,Chest pain,25.78,,26.54,30.09,3.55,13.4
3,15-21 September,2019-09-15,Dehydration,1.95,,1.3,1.53,0.23,17.7
3,15-21 September,2019-09-15,Diseases of the respiratory system,74.7,,59.66,63.39,3.73,6.3
3,15-21 September,2019-09-15,Mental and behavioural disorders,22.5,,25.65,24.98,-0.67,-2.6
4,22-28 September,2019-09-22,Abnormalities of breathing,7.86,,8.29,8.92,0.63,7.6
4,22-28 September,2019-09-22,Acute myocardial infarction,1.93,,2.5,2.24,-0.26,-10.4
4,22-28 September,2019-09-22,Asthma,6.0,,5.94,6.17,0.23,3.9
4,22-28 September,2019-09-22,COPD with acute exacerbation,1.58,,1.96,1.78,-0.18,-9.2
4,22-28 September,2019-09-22,Cardiovascular diseases,16.86,,15.11,15.07,-0.04,-0.3
4,22-28 September,2019-09-22,Cerebrovascular diseases,,1.3,3.15,3.11,-0.04,-1.3
4,22-28 September,2019-09-22,Chest pain,24.7,,26.41,29.47,3.06,11.6
4,22-28 September,2019-09-22,Dehydration,2.17,,1.42,1.35,-0.07,-4.9
4,22-28 September,2019-09-22,Diseases of the respiratory system,70.69,,58.52,61.27,2.75,4.7
4,22-28 September,2019-09-22,Mental and behavioural disorders,22.4,,24.68,25.8,1.12,4.5
5,29 September-5 October,2019-09-29,Abnormalities of breathing,7.34,,7.8,8.87,1.07,13.7
5,29 September-5 October,2019-09-29,Acute myocardial infarction,1.96,,2.53,2.57,0.04,1.6
5,29 September-5 October,2019-09-29,Asthma,5.49,,6.88,5.89,-0.99,-14.4
5,29 September-5 October,2019-09-29,COPD with acute exacerbation,1.34,,1.8,1.7,-0.1,-5.6
5,29 September-5 October,2019-09-29,Cardiovascular diseases,16.1,,14.94,15.62,0.68,4.6
5,29 September-5 October,2019-09-29,Cerebrovascular diseases,,1.58,2.83,2.87,0.04,1.4
5,29 September-5 October,2019-09-29,Chest pain,25.78,,25.49,26.51,1.02,4.0
5,29 September-5 October,2019-09-29,Dehydration,1.93,,1.24,1.41,0.17,13.7
5,29 September-5 October,2019-09-29,Diseases of the respiratory system,64.48,,62.16,61.1,-1.06,-1.7
5,29 September-5 October,2019-09-29,Mental and behavioural disorders,22.18,,24.04,23.0,-1.04,-4.3
6,6-12 October,2019-10-06,Abnormalities of breathing,7.12,,7.72,8.85,1.13,14.6
6,6-12 October,2019-10-06,Acute myocardial infarction,2.02,,2.24,2.46,0.22,9.8
6,6-12 October,2019-10-06,Asthma,4.43,,4.79,5.26,0.47,9.8
6,6-12 October,2019-10-06,COPD with acute exacerbation,1.14,,2.01,2.01,0.0,0.0
6,6-12 October,2019-10-06,Cardiovascular diseases,16.84,,15.33,14.12,-1.21,-7.9
6,6-12 October,2019-10-06,Cerebrovascular diseases,,1.31,3.39,2.97,-0.42,-12.4
6,6-12 October,2019-10-06,Chest pain,27.63,,29.18,28.59,-0.59,-2.0
6,6-12 October,2019-10-06,Dehydration,1.47,,1.15,1.73,0.58,50.4
6,6-12 October,2019-10-06,Diseases of the respiratory system,50.82,,51.22,57.99,6.77,13.2
6,6-12 October,2019-10-06,Mental and behavioural disorders,22.93,,23.99,23.8,-0.19,-0.8
7,13-19 October,2019-10-13,Abnormalities of breathing,7.09,,8.46,8.36,-0.1,-1.2
7,13-19 October,2019-10-13,Acute myocardial infarction,1.72,,2.47,2.8,0.33,13.4
7,13-19 October,2019-10-13,Asthma,5.16,,5.2,4.59,-0.61,-11.7
7,13-19 October,2019-10-13,COPD with acute exacerbation,0.97,,1.82,1.75,-0.07,-3.8
7,13-19 October,2019-10-13,Cardiovascular diseases,16.07,,15.47,15.78,0.31,2.0
7,13-19 October,2019-10-13,Cerebrovascular diseases,,1.42,3.03,3.42,0.39,12.9
7,13-19 October,2019-10-13,Chest pain,26.64,,28.33,30.07,1.74,6.1
7,13-19 October,2019-10-13,Dehydration,1.37,,0.98,1.33,0.35,35.7
7,13-19 October,2019-10-13,Diseases of the respiratory system,44.92,,49.72,49.72,0.0,0.0
7,13-19 October,2019-10-13,Mental and behavioural disorders,24.18,,26.11,24.83,-1.28,-4.9
