week_index,week_label,week_start_2019_20,diagnosis,season,n,asr
1,1-7 September,2019-09-01,Diseases of the respiratory system,2017-18,6706.0,82.43
1,1-7 September,2019-09-01,Diseases of the respiratory system,2018-19,5182.0,63.65
1,1-7 September,2019-09-01,Diseases of the respiratory system,2019-20,5736.0,69.53
1,1-7 September,2019-09-01,Asthma,2017-18,492.0,6.36
1,1-7 September,2019-09-01,Asthma,2018-19,535.0,6.86
1,1-7 September,2019-09-01,Asthma,2019-20,547.0,6.96
1,1-7 September,2019-09-01,Cardiovascular diseases,2017-18,1762.0,19.01
1,1-7 September,2019-09-01,Cardiovascular diseases,2018-19,1423.0,15.05
1,1-7 September,2019-09-01,Cardiovascular diseases,2019-20,1480.0,15.34
1,1-7 September,2019-09-01,Acute myocardial infarction,2017-18,235.0,2.51
1,1-7 September,2019-09-01,Acute myocardial infarction,2018-19,238.0,2.53
1,1-7 September,2019-09-01,Acute myocardial infarction,2019-20,258.0,2.67
1,1-7 September,2019-09-01,Cerebrovascular diseases,2017-18(x),155.0,1.64
1,1-7 September,2019-09-01,Cerebrovascular diseases,2018-19,282.0,2.94
1,1-7 September,2019-09-01,Cerebrovascular diseases,2019-20,286.0,2.92
1,1-7 September,2019-09-01,Mental and behavioural disorders,2017-18,1733.0,22.42
1,1-7 September,2019-09-01,Mental and behavioural disorders,2018-19,1895.0,24.21
1,1-7 September,2019-09-01,Mental and behavioural disorders,2019-20,1890.0,23.87
1,1-7 September,2019-09-01,Dehydration,2017-18,136.0,1.6
1,1-7 September,2019-09-01,Dehydration,2018-19,114.0,1.32
1,1-7 September,2019-09-01,Dehydration,2019-20,126.0,1.44
1,1-7 September,2019-09-01,Chest pain,2017-18,2264.0,27.42
1,1-7 September,2019-09-01,Chest pain,2018-19,2415.0,28.44
1,1-7 September,2019-09-01,Chest pain,2019-20,2388.0,27.96
1,1-7 September,2019-09-01,Abnormalities of breathing,2017-18,687.0,7.85
1,1-7 September,2019-09-01,Abnormalities of breathing,2018-19,701.0,8.13
