state,sa4_code,sa4_name,indicator,peak_asr_2019_20,max_change_vs_2018_19
ACT,801,Australian Capital Territory,All GP MBS claims,10105.11,1708.57
ACT,801,Australian Capital Territory,Respiratory medication prescriptions,1217.46,508.52
ACT,801,Australian Capital Territory,Respiratory test MBS claims,35.13,6.75
ACT,801,Australian Capital Territory,Salbutamol prescriptions,262.16,150.26
NSW,101,Capital Region,All GP MBS claims,10560.75,1487.12
NSW,101,Capital Region,Respiratory medication prescriptions,1413.77,395.26
NSW,101,Capital Region,Respiratory test MBS claims,58.87,13.53
NSW,101,Capital Region,Salbutamol prescriptions,356.83,131.39
NSW,102,Central Coast,All GP MBS claims,12974.46,1521.75
NSW,102,Central Coast,Respiratory medication prescriptions,1391.02,148.75
NSW,102,Central Coast,Respiratory test MBS claims,69.68,4.94
NSW,102,Central Coast,Salbutamol prescriptions,404.43,62.12
NSW,103,Central West,All GP MBS claims,11144.33,1762.58
NSW,103,Central West,Respiratory medication prescriptions,1721.35,362.81
NSW,103,Central West,Respiratory test MBS claims,66.09,23.6
NSW,103,Central West,Salbutamol prescriptions,535.85,157.73
NSW,104,Coffs Harbour - Grafton,All GP MBS claims,11321.41,1637.3
NSW,104,Coffs Harbour - Grafton,Respiratory medication prescriptions,1537.02,396.47
NSW,104,Coffs Harbour - Grafton,Respiratory test MBS claims,97.66,8.47
NSW,104,Coffs Harbour - Grafton,Salbutamol prescriptions,523.95,216.19
NSW,105,Far West and Orana,All GP MBS claims,11498.8,1380.97
NSW,105,Far West and Orana,Respiratory medication prescriptions,1641.05,214.64
NSW,105,Far West and Orana,Respiratory test MBS claims,63.94,14.89
NSW,105,Far West and Orana,Salbutamol prescriptions,507.95,80.56
NSW,106,Hunter Valley exc Newcastle,All GP MBS claims,12264.37,1686.2
NSW,106,Hunter Valley exc Newcastle,Respiratory medication prescriptions,1405.89,133.21
NSW,106,Hunter Valley exc Newcastle,Respiratory test MBS claims,58.4,9.09
NSW,106,Hunter Valley exc Newcastle,Salbutamol prescriptions,397.97,61.76
NSW,107,Illawarra,All GP MBS claims,13354.31,1637.63
NSW,107,Illawarra,Respiratory medication prescriptions,1408.15,129.05
NSW,107,Illawarra,Respiratory test MBS claims,88.92,15.29
NSW,107,Illawarra,Salbutamol prescriptions,372.24,56.69
NSW,108,Mid North Coast,All GP MBS claims,11642.47,1678.2
NSW,108,Mid North Coast,Respiratory medication prescriptions,1738.8,591.96
NSW,108,Mid North Coast,Respiratory test MBS claims,84.33,13.82
NSW,108,Mid North Coast,Salbutamol prescriptions,576.29,237.34
NSW,109,Murray,All GP MBS claims,10690.19,1155.99
NSW,109,Murray,Respiratory medication prescriptions,1271.79,318.5
NSW,109,Murray,Respiratory test MBS claims,61.0,18.6
NSW,109,Murray,Salbutamol prescriptions,326.91,124.18
NSW,110,New England and North West,All GP MBS claims,9888.18,1512.4
NSW,110,New England and North West,Respiratory medication prescriptions,1547.39,257.4
NSW,110,New England and North West,Respiratory test MBS claims,60.15,30.34
NSW,110,New England and North West,Salbutamol prescriptions,469.81,100.37
NSW,111,Newcastle and Lake Macquarie,All GP MBS claims,11325.1,1570.88
NSW,111,Newcastle and Lake Macquarie,Respiratory medication prescriptions,1418.01,143.81
NSW,111,Newcastle and Lake Macquarie,Respiratory test MBS claims,55.35,9.52
NSW,111,Newcastle and Lake Macquarie,Salbutamol prescriptions,431.14,76.63
NSW,112,Richmond - Tweed,All GP MBS claims,11901.09,1713.03
NSW,112,Richmond - Tweed,Respiratory medication prescriptions,1153.48,198.75
NSW,112,Richmond - Tweed,Respiratory test MBS claims,66.58,15.43
NSW,112,Richmond - Tweed,Salbutamol prescriptions,352.46,85.77
NSW,113,Riverina,All GP MBS claims,11104.11,1452.05
NSW,113,Riverina,Respiratory medication prescriptions,1689.52,255.37
NSW,113,Riverina,Respiratory test MBS claims,120.11,51.61
NSW,113,Riverina,Salbutamol prescriptions,477.87,104.1
NSW,114,Southern Highlands and Shoalhaven,All GP MBS claims,12065.69,1616.2
NSW,114,Southern Highlands and Shoalhaven,Respiratory medication prescriptions,1365.2,274.97
NSW,114,Southern Highlands and Shoalhaven,Respiratory test MBS claims,83.15,28.17
NSW,114,Southern Highlands and Shoalhaven,Salbutamol prescriptions,361.71,85.13
NSW,115,Sydney - Baulkham Hills and Hawkesbury,All GP MBS claims,14011.07,1604.7
NSW,115,Sydney - Baulkham Hills and Hawkesbury,Respiratory medication prescriptions,1006.18,157.92
NSW,115,Sydney - Baulkham Hills and Hawkesbury,Respiratory test MBS claims,65.92,17.12
NSW,115,Sydney - Baulkham Hills and Hawkesbury,Salbutamol prescriptions,206.38,44.72
NSW,116,Sydney - Blacktown,All GP MBS claims,17201.27,1682.93
NSW,116,Sydney - Blacktown,Respiratory medication prescriptions,1612.86,148.02
NSW,116,Sydney - Blacktown,Respiratory test MBS claims,88.1,12.23
NSW,116,Sydney - Blacktown,Salbutamol prescriptions,486.01,99.3
NSW,117,Sydney - City and Inner South,All GP MBS claims,10851.39,1321.14
NSW,117,Sydney - City and Inner South,Respiratory medication prescriptions,1170.58,183.34
NSW,117,Sydney - City and Inner South,Respiratory test MBS claims,66.08,7.31
NSW,117,Sydney - City and Inner South,Salbutamol prescriptions,296.64,77.05
NSW,118,Sydney - Eastern Suburbs,All GP MBS claims,10628.91,1115.16
NSW,118,Sydney - Eastern Suburbs,Respiratory medication prescriptions,990.32,214.96
NSW,118,Sydney - Eastern Suburbs,Respiratory test MBS claims,97.43,12.14
NSW,118,Sydney - Eastern Suburbs,Salbutamol prescriptions,186.35,51.42
NSW,119,Sydney - Inner South West,All GP MBS claims,13801.24,1659.01
NSW,119,Sydney - Inner South West,Respiratory medication prescriptions,1472.2,173.57
NSW,119,Sydney - Inner South West,Respiratory test MBS claims,65.17,8.65
NSW,119,Sydney - Inner South West,Salbutamol prescriptions,412.17,75.51
NSW,120,Sydney - Inner West,All GP MBS claims,11411.82,1585.71
NSW,120,Sydney - Inner West,Respiratory medication prescriptions,1015.84,173.67
NSW,120,Sydney - Inner West,Respiratory test MBS claims,55.91,7.05
NSW,120,Sydney - Inner West,Salbutamol prescriptions,230.3,49.98
NSW,121,Sydney - North Sydney and Hornsby,All GP MBS claims,10546.3,1455.55
NSW,121,Sydney - North Sydney and Hornsby,Respiratory medication prescriptions,884.25,243.56
NSW,121,Sydney - North Sydney and Hornsby,Respiratory test MBS claims,56.05,11.8
NSW,121,Sydney - North Sydney and Hornsby,Salbutamol prescriptions,132.66,37.94
NSW,122,Sydney - Northern Beaches,All GP MBS claims,10277.58,1094.11
NSW,122,Sydney - Northern Beaches,Respiratory medication prescriptions,924.88,206.19
NSW,122,Sydney - Northern Beaches,Respiratory test MBS claims,48.48,10.89
NSW,122,Sydney - Northern Beaches,Salbutamol prescriptions,151.34,50.41
NSW,123,Sydney - Outer South West,All GP MBS claims,16830.9,2311.09
NSW,123,Sydney - Outer South West,Respiratory medication prescriptions,1527.45,279.35
NSW,123,Sydney - Outer South West,Respiratory test MBS claims,84.74,21.8
NSW,123,Sydney - Outer South West,Salbutamol prescriptions,497.68,147.38
NSW,124,Sydney - Outer West and Blue Mountains,All GP MBS claims,15491.75,2250.87
NSW,124,Sydney - Outer West and Blue Mountains,Respiratory medication prescriptions,1431.58,229.39
NSW,124,Sydney - Outer West and Blue Mountains,Respiratory test MBS claims,75.57,16.45
NSW,124,Sydney - Outer West and Blue Mountains,Salbutamol prescriptions,398.94,117.32
NSW,125,Sydney - Parramatta,All GP MBS claims,15037.63,1827.22
NSW,125,Sydney - Parramatta,Respiratory medication prescriptions,1243.41,130.44
NSW,125,Sydney - Parramatta,Respiratory test MBS claims,59.68,8.95
NSW,125,Sydney - Parramatta,Salbutamol prescriptions,358.4,72.45
NSW,126,Sydney - Ryde,All GP MBS claims,11317.2,1528.67
NSW,126,Sydney - Ryde,Respiratory medication prescriptions,874.66,125.63
NSW,126,Sydney - Ryde,Respiratory test MBS claims,53.25,13.54
NSW,126,Sydney - Ryde,Salbutamol prescriptions,178.27,36.99
NSW,127,Sydney - South West,All GP MBS claims,16019.64,1982.03
NSW,127,Sydney - South West,Respiratory medication prescriptions,1480.54,175.58
NSW,127,Sydney - South West,Respiratory test MBS claims,74.24,18.61
NSW,127,Sydney - South West,Salbutamol prescriptions,459.68,104.56
