week_label,week_index,week_start_2019_20,state,sa4_code,sa4_name,indicator,n_2019_20,asr_2019_20,asr_2018_19,asr_change_vs_2018_19
1-7 September,1,2019-09-01,NSW,101,Capital Region,All GP MBS claims,25952.53,10422.83,10556.45,-133.62
8-14 September,2,2019-09-08,NSW,101,Capital Region,All GP MBS claims,26205.84,10543.97,10075.65,468.32
15-21 September,3,2019-09-15,NSW,101,Capital Region,All GP MBS claims,26322.18,10473.13,10230.95,242.18
22-28 September,4,2019-09-22,NSW,101,Capital Region,All GP MBS claims,26132.32,10439.91,10229.58,210.33
29 September-5 October,5,2019-09-29,NSW,101,Capital Region,All GP MBS claims,24714.11,9772.83,8285.71,1487.12
6-12 October,6,2019-10-06,NSW,101,Capital Region,All GP MBS claims,21155.99,8352.75,9473.2,-1120.45
13-19 October,7,2019-10-13,NSW,101,Capital Region,All GP MBS claims,25948.63,10230.35,9874.28,356.07
20-26 October,8,2019-10-20,NSW,101,Capital Region,All GP MBS claims,25653.41,10124.21,10039.58,84.63
27 October-2 November,9,2019-10-27,NSW,101,Capital Region,All GP MBS claims,25569.06,10126.92,9921.98,204.94
3-9 November,10,2019-11-03,NSW,101,Capital Region,All GP MBS claims,24622.73,9796.13,9924.68,-128.55
10-16 November,11,2019-11-10,NSW,101,Capital Region,All GP MBS claims,25764.71,10242.54,10316.07,-73.53
17-23 November,12,2019-11-17,NSW,101,Capital Region,All GP MBS claims,26331.68,10462.25,10317.76,144.49
24-30 November,13,2019-11-24,NSW,101,Capital Region,All GP MBS claims,25635.99,10103.31,10041.19,62.12
1-7 December,14,2019-12-01,NSW,101,Capital Region,All GP MBS claims,25430.14,9986.45,10083.57,-97.12
8-14 December,15,2019-12-08,NSW,101,Capital Region,All GP MBS claims,26008.15,10135.91,9873.08,262.83
15-21 December,16,2019-12-15,NSW,101,Capital Region,All GP MBS claims,25711.49,9950.55,9952.24,-1.69
22-28 December,17,2019-12-22,NSW,101,Capital Region,All GP MBS claims,10321.99,4083.14,3525.97,557.17
29 December-4 January,18,2019-12-29,NSW,101,Capital Region,All GP MBS claims,12410.5,4985.14,6125.9,-1140.76
5-11 January,19,2020-01-05,NSW,101,Capital Region,All GP MBS claims,21981.4,8676.06,9610.46,-934.4
12-18 January,20,2020-01-12,NSW,101,Capital Region,All GP MBS claims,24452.17,9558.42,9888.54,-330.12
19-25 January,21,2020-01-19,NSW,101,Capital Region,All GP MBS claims,24372.85,9523.28,10129.75,-606.47
26 January-1 February,22,2020-01-26,NSW,101,Capital Region,All GP MBS claims,21143.65,8317.53,8109.96,207.57
2-8 February,23,2020-02-02,NSW,101,Capital Region,All GP MBS claims,25051.86,9818.1,10117.81,-299.71
9-15 February,24,2020-02-09,NSW,101,Capital Region,All GP MBS claims,26017.9,10295.06,10294.23,0.83
16-22 February,25,2020-02-16,NSW,101,Capital Region,All GP MBS claims,26494.31,10537.3,10532.73,4.57
23 Feb-1 Mar/29 Feb,26,2020-02-23,NSW,101,Capital Region,All GP MBS claims,26690.43,10560.75,10297.67,263.08
1-7 September,1,2019-09-01,NSW,102,Central Coast,All GP MBS claims,49003.04,12963.79,13035.08,-71.29
8-14 September,2,2019-09-08,NSW,102,Central Coast,All GP MBS claims,48884.93,12929.85,12832.63,97.22
15-21 September,3,2019-09-15,NSW,102,Central Coast,All GP MBS claims,47681.4,12629.24,12782.51,-153.27
22-28 September,4,2019-09-22,NSW,102,Central Coast,All GP MBS claims,47706.0,12565.22,12501.55,63.67
29 September-5 October,5,2019-09-29,NSW,102,Central Coast,All GP MBS claims,45458.7,11881.09,10359.34,1521.75
6-12 October,6,2019-10-06,NSW,102,Central Coast,All GP MBS claims,39162.85,10253.17,12201.15,-1947.98
13-19 October,7,2019-10-13,NSW,102,Central Coast,All GP MBS claims,48026.44,12494.25,12587.46,-93.21
20-26 October,8,2019-10-20,NSW,102,Central Coast,All GP MBS claims,47897.45,12558.37,12827.59,-269.22
27 October-2 November,9,2019-10-27,NSW,102,Central Coast,All GP MBS claims,47665.84,12466.67,12658.4,-191.73
3-9 November,10,2019-11-03,NSW,102,Central Coast,All GP MBS claims,46337.56,12111.77,12541.38,-429.61
10-16 November,11,2019-11-10,NSW,102,Central Coast,All GP MBS claims,46324.38,12078.41,12802.98,-724.57
17-23 November,12,2019-11-17,NSW,102,Central Coast,All GP MBS claims,48225.84,12614.61,12698.87,-84.26
24-30 November,13,2019-11-24,NSW,102,Central Coast,All GP MBS claims,47587.15,12403.99,12417.46,-13.47
1-7 December,14,2019-12-01,NSW,102,Central Coast,All GP MBS claims,47440.99,12345.5,12414.89,-69.39
8-14 December,15,2019-12-08,NSW,102,Central Coast,All GP MBS claims,48304.12,12539.1,12456.14,82.96
15-21 December,16,2019-12-15,NSW,102,Central Coast,All GP MBS claims,47963.5,12349.37,12226.36,123.01
22-28 December,17,2019-12-22,NSW,102,Central Coast,All GP MBS claims,21651.59,5767.07,5654.03,113.04
29 December-4 January,18,2019-12-29,NSW,102,Central Coast,All GP MBS claims,29095.28,7688.46,8333.52,-645.06
5-11 January,19,2020-01-05,NSW,102,Central Coast,All GP MBS claims,45083.63,11730.86,12150.62,-419.76
12-18 January,20,2020-01-12,NSW,102,Central Coast,All GP MBS claims,46172.6,11928.92,12167.77,-238.85
19-25 January,21,2020-01-19,NSW,102,Central Coast,All GP MBS claims,45794.11,11859.06,12726.47,-867.41
26 January-1 February,22,2020-01-26,NSW,102,Central Coast,All GP MBS claims,40536.82,10554.01,10773.94,-219.93
2-8 February,23,2020-02-02,NSW,102,Central Coast,All GP MBS claims,47342.14,12331.34,13212.03,-880.69
9-15 February,24,2020-02-09,NSW,102,Central Coast,All GP MBS claims,47234.24,12368.82,13452.91,-1084.09
16-22 February,25,2020-02-16,NSW,102,Central Coast,All GP MBS claims,49371.37,12914.47,13358.22,-443.75
23 Feb-1 Mar/29 Feb,26,2020-02-23,NSW,102,Central Coast,All GP MBS claims,49439.78,12974.46,13077.05,-102.59
1-7 September,1,2019-09-01,NSW,103,Central West,All GP MBS claims,25693.54,11144.07,10765.29,378.78
8-14 September,2,2019-09-08,NSW,103,Central West,All GP MBS claims,25087.19,10939.38,11033.66,-94.28
15-21 September,3,2019-09-15,NSW,103,Central West,All GP MBS claims,24729.94,10729.24,10780.14,-50.9
22-28 September,4,2019-09-22,NSW,103,Central West,All GP MBS claims,23405.0,10132.52,10479.13,-346.61
29 September-5 October,5,2019-09-29,NSW,103,Central West,All GP MBS claims,23274.13,9979.69,8217.11,1762.58
6-12 October,6,2019-10-06,NSW,103,Central West,All GP MBS claims,19490.83,8371.92,9800.75,-1428.83
13-19 October,7,2019-10-13,NSW,103,Central West,All GP MBS claims,24925.76,10758.45,10601.85,156.6
20-26 October,8,2019-10-20,NSW,103,Central West,All GP MBS claims,23851.46,10308.89,10322.59,-13.7
27 October-2 November,9,2019-10-27,NSW,103,Central West,All GP MBS claims,24710.19,10665.2,10618.26,46.94
3-9 November,10,2019-11-03,NSW,103,Central West,All GP MBS claims,23505.75,10129.24,10071.01,58.23
10-16 November,11,2019-11-10,NSW,103,Central West,All GP MBS claims,24371.46,10469.61,10934.72,-465.11
17-23 November,12,2019-11-17,NSW,103,Central West,All GP MBS claims,24894.59,10720.64,10560.81,159.83
24-30 November,13,2019-11-24,NSW,103,Central West,All GP MBS claims,23659.88,10159.47,10608.52,-449.05
1-7 December,14,2019-12-01,NSW,103,Central West,All GP MBS claims,24750.39,10618.74,10601.45,17.29
8-14 December,15,2019-12-08,NSW,103,Central West,All GP MBS claims,25010.07,10685.03,10714.95,-29.92
15-21 December,16,2019-12-15,NSW,103,Central West,All GP MBS claims,24325.15,10350.53,10224.65,125.88
22-28 December,17,2019-12-22,NSW,103,Central West,All GP MBS claims,9541.54,4139.49,3641.21,498.28
29 December-4 January,18,2019-12-29,NSW,103,Central West,All GP MBS claims,13152.66,5715.37,6321.67,-606.3
