week_ending,face_to_face_n,face_to_face_pct,telehealth_n,telehealth_pct,total_n,total_pct
2020-01-18,4,57.14,3,42.86,7,100
2020-01-26,138,93.24,10,6.76,148,100
2020-02-02,216,93.91,14,6.09,230,100
2020-02-09,332,89.25,40,10.75,372,100
2020-02-16,362,92.11,31,7.89,393,100
2020-02-23,370,92.04,32,7.96,402,100
2020-03-01,382,88.63,49,11.37,431,100
2020-03-08,407,91.46,38,8.54,445,100
2020-03-15,421,82.55,89,17.45,510,100
2020-03-22,372,82.85,77,17.15,449,100
2020-03-29,284,67.78,135,32.22,419,100
2020-04-05,330,60.89,212,39.11,542,100
2020-04-12,233,50.76,226,49.24,459,100
2020-04-19,209,44.75,258,55.25,467,100
2020-04-26,282,49.74,285,50.26,567,100
2020-05-03,261,47.89,284,52.11,545,100
2020-05-10,228,46.53,262,53.47,490,100
2020-05-17,234,44.4,293,55.6,527,100
2020-05-24,252,51.96,233,48.04,485,100
2020-05-31,330,55.65,263,44.35,593,100
2020-06-07,367,61.58,229,38.42,596,100
2020-06-14,287,56.39,222,43.61,509,100
2020-06-21,389,62.84,230,37.16,619,100
2020-06-28,390,59.82,262,40.18,652,100
2020-07-05,343,63.52,197,36.48,540,100
2020-07-12,337,61.61,210,38.39,547,100
2020-07-19,264,55.58,211,44.42,475,100
2020-07-26,330,60.66,214,39.34,544,100
2020-08-02,352,65.79,183,34.21,535,100
2020-08-09,338,59.72,228,40.28,566,100
2020-08-16,395,65.61,207,34.39,602,100
2020-08-23,354,59.9,237,40.1,591,100
2020-08-30,362,62.41,218,37.59,580,100
2020-09-06,335,62.85,198,37.15,533,100
2020-09-13,350,60.55,228,39.45,578,100
2020-09-20,353,63.95,199,36.05,552,100
2020-09-27,337,67.4,163,32.6,500,100
2020-10-04,344,63.35,199,36.65,543,100
2020-10-11,271,67.41,131,32.59,402,100
